Address,bMonsters,rMonsters
http://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT03/40125?gameHash=ed185667320ae9dc,1,1
http://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT03/40379?gameHash=bbed81b562aa7f79,2,1
http://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT03/50154?gameHash=5b5ba6c4b85f198f,1,1
http://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT03/50171?gameHash=62ece21b4e491461,2,1
http://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT03/50179?gameHash=8bfac5da6fc482c1,1,2
http://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT03/50449?gameHash=53ecfec6740cae22,1,1
http://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT03/50461?gameHash=776eb5346fc7ffb4,1,1
http://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT03/60081?gameHash=6e82bd397f5e91e2,1,1
http://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT03/60102?gameHash=5b0203580d1b8490,1,1
http://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT04/130249?gameHash=622068c90904b1f9,2,1
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRLT1/340051?gameHash=25218cdd9384f280,3,2
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRLT1/340053?gameHash=386d6f45fd736b23,3,1
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRLT1/390061?gameHash=7b052be642a25928,1,1
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRLT1/390072?gameHash=3bd4d1e1f8fbdccf,2,2
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1190108?gameHash=e3f28a4e5a7174b1,1,2
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1190127?gameHash=b7b537aaeb4972d0,1,3
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1190142?gameHash=966761ce543ea7f1,1,2
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1200071?gameHash=6a45eae43b2cf29c,1,2
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1200074?gameHash=c5b8c03b72826c7d,2,1
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1200148?gameHash=204626fb0e753477,1,2
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1210072?gameHash=26acecfbe8cd67ad,1,1
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1210124?gameHash=e6fa9894e40bbe80,2,1
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1210269?gameHash=45d87330db5945a0,1,2
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1220034?gameHash=2961d1bade54b509,1,2
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1220047?gameHash=e0b6836b8a288160,1,1
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1220221?gameHash=d277c9ce39f1fd19,2,2
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1220260?gameHash=1cf0d415bf68cf59,1,3
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1220289?gameHash=26311024fcfab37d,3,1
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1230346?gameHash=c8fe140231240cb1,1,1
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1240272?gameHash=e4a56ecaae67b6a3,2,1
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1240288?gameHash=b026b61848460455,1,2
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1240291?gameHash=e5dec09040c7d048,3,2
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1250087?gameHash=5a2a763c6728c7d8,2,2
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1250126?gameHash=a3f94ff517974f50,1,2
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1250129?gameHash=35b317554cff17f8,1,2
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1250222?gameHash=5396123ec5726093,1,2
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1250256?gameHash=d34f0a58bcec3b97,1,1
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1250291?gameHash=9013271d0bbb43ac,1,1
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1250306?gameHash=f0883696278fd895,2,1
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1250307?gameHash=be6f7facfeba2f8e,1,2
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1250326?gameHash=3f896228aa4b13ac,2,2
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1250336?gameHash=e0f2c4ab1f166e9a,3,1
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1260237?gameHash=8682d7b951a4bd87,1,2
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1260254?gameHash=b41eb4b96009bb5b,1,2
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1260292?gameHash=0565660d8b72d749,1,1
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1260303?gameHash=e623b1636ae7f6d5,2,1
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1260361?gameHash=a70d99565ac7631c,1,2
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1260378?gameHash=cd181258f6d41930,2,1
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1270135?gameHash=7574a76f14f66301,1,2
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1270178?gameHash=3c2fe29086e1e57a,1,1
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1270199?gameHash=1a03433e129f3e19,3,2
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1280116?gameHash=a9ba79a34bdd28cb,1,3
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1280118?gameHash=c3df2fa9af5fc602,1,1
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1280119?gameHash=ebaaefb084a326e0,3,1
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1280128?gameHash=91c2677458bdfce2,2,2
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1290025?gameHash=31209c812cb91344,3,2
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1300025?gameHash=deadca9d7c5def90,1,2
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1300034?gameHash=243307974d2620c6,2,3
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1300035?gameHash=2dd88b7623d5716d,1,2
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1300036?gameHash=0ca38e86e4a327d7,1,2
