,Address,golddiff,rResult,bResult,rKills,bKills,rBOTLANE_kills,rMIDLANE_kills,rTOPLANE_kills,bBOTLANE_kills,bMIDLANE_kills,bTOPLANE_kills
2933,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/140143?gameHash=43e78711c11dce9e,-4656,1,0,10,1,1,0,0,0,0,1
2934,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/140144?gameHash=f9638218e3e4ecb4,-3161,1,0,9,1,0,0,1,0,1,0
2935,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/140155?gameHash=a8db0e900e64ad98,-1145,1,0,6,4,0,0,1,1,0,0
2936,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/140155?gameHash=a8db0e900e64ad98,-1145,1,0,6,4,1,0,0,1,0,0
2937,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/140158?gameHash=e7d811d287d1acda,652,0,1,3,6,0,0,1,1,0,0
2938,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/150129?gameHash=09334aff0725afd2,5685,0,1,4,7,1,0,0,2,1,4
2939,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/150140?gameHash=15cb25430bcf0618,834,0,1,8,8,0,0,1,1,0,0
2940,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/150140?gameHash=15cb25430bcf0618,834,0,1,8,8,1,0,0,1,0,0
2941,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/150146?gameHash=77f9a1d76563db13,1907,0,1,3,3,0,0,1,1,0,1
2942,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/150251?gameHash=e402935f24cd08e6,3560,0,1,3,5,0,0,1,1,1,2
2943,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/150251?gameHash=e402935f24cd08e6,3560,0,1,3,5,1,0,0,1,1,2
2944,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/150261?gameHash=6f0070b9a9e61888,-1456,1,0,2,2,1,0,0,0,0,1
2945,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/150261?gameHash=6f0070b9a9e61888,-1456,1,0,2,2,0,0,1,0,0,1
