,Address,golddiff,rResult,bResult,rKills,bKills,rBOTLANE_kills,rMIDLANE_kills,rTOPLANE_kills,bBOTLANE_kills,bMIDLANE_kills,bTOPLANE_kills,bMonsters,rMonsters
4860,http://matchhistory.na.leagueoflegends.com/en/#match-details/TREU/1000560061?gameHash=72651b3e0c7e5438,1510.0,0,1,5,7,1,0,0,1,1,1,1,1
4861,http://matchhistory.na.leagueoflegends.com/en/#match-details/FRA1TMNT1/430098?gameHash=bd23d5628ea3b516,840.0,0,1,5,5,0,0,1,1,1,1,1,1
4862,http://matchhistory.na.leagueoflegends.com/en/#match-details/FRA1TMNT1/430098?gameHash=bd23d5628ea3b516,840.0,0,1,5,5,1,0,0,1,1,1,1,1
4863,http://matchhistory.na.leagueoflegends.com/en/#match-details/FRA1TMNT1/430098?gameHash=bd23d5628ea3b516,840.0,0,1,5,5,0,1,0,1,1,1,1,1
4864,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001140034?gameHash=d1e703c50ac5c147,-4715.0,1,0,10,5,1,0,0,1,0,0,1,2
4865,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001140034?gameHash=d1e703c50ac5c147,-4715.0,1,0,10,5,1,0,0,1,0,0,1,2
4866,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001140034?gameHash=d1e703c50ac5c147,-4715.0,1,0,10,5,0,1,0,1,0,0,1,2
4867,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001140034?gameHash=d1e703c50ac5c147,-4715.0,1,0,10,5,0,0,1,1,0,0,1,2
4868,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001140036?gameHash=9b2b2eb231df3400,1148.0,1,0,9,10,0,0,1,1,1,0,1,1
4869,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001140047?gameHash=7b49b53a15032121,892.0,0,1,4,7,0,0,1,1,0,1,1,1
4870,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001140047?gameHash=7b49b53a15032121,892.0,0,1,4,7,0,1,0,1,0,1,1,1
4871,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001140047?gameHash=7b49b53a15032121,892.0,0,1,4,7,1,0,0,1,0,1,1,1
4872,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001140047?gameHash=7b49b53a15032121,892.0,0,1,4,7,0,1,0,1,0,1,1,1
4873,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001320032?gameHash=9200875a5c750fa1,2196.0,0,1,4,6,1,0,0,1,1,1,1,2
4874,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001320032?gameHash=9200875a5c750fa1,2196.0,0,1,4,6,0,0,1,1,1,1,1,2
4875,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001320032?gameHash=9200875a5c750fa1,2196.0,0,1,4,6,0,1,0,1,1,1,1,2
4876,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001400019?gameHash=27ecadba4981a608,4910.0,0,1,1,8,1,0,0,2,0,1,1,1
4877,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001400019?gameHash=27ecadba4981a608,4910.0,0,1,1,8,0,1,0,2,0,1,1,1
4878,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001400020?gameHash=654149c00dda94cd,602.0,0,1,5,3,0,1,0,1,1,1,1,1
4879,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001400020?gameHash=654149c00dda94cd,602.0,0,1,5,3,1,0,0,1,1,1,1,1
4880,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001400020?gameHash=654149c00dda94cd,602.0,0,1,5,3,0,0,1,1,1,1,1,1
4881,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001400027?gameHash=31c880a21e1c297a,3758.0,0,1,6,9,1,0,0,2,1,2,1,1
4882,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001400027?gameHash=31c880a21e1c297a,3758.0,0,1,6,9,0,0,1,2,1,2,1,1
4883,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001670154?gameHash=35e99ec6056b0a84,2258.0,1,0,7,4,0,0,1,2,1,3,1,2
4884,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001670154?gameHash=35e99ec6056b0a84,2258.0,1,0,7,4,1,0,0,2,1,3,1,2
4885,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001670154?gameHash=35e99ec6056b0a84,2258.0,1,0,7,4,1,0,0,2,1,3,1,2
4886,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001670156?gameHash=6cc776c525e7eea7,-34.0,0,1,7,5,0,0,1,1,1,0,1,2
4887,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001680159?gameHash=ef85264fe8a9c1d8,-2092.0,1,0,4,2,0,1,0,1,0,0,1,3
4888,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001680159?gameHash=ef85264fe8a9c1d8,-2092.0,1,0,4,2,0,0,1,1,0,0,1,3
4889,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001680159?gameHash=ef85264fe8a9c1d8,-2092.0,1,0,4,2,0,0,1,1,0,0,1,3
4890,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001680169?gameHash=0c4de41bf32f811d,-5093.0,1,0,6,1,1,0,0,0,0,1,1,4
4891,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001680169?gameHash=0c4de41bf32f811d,-5093.0,1,0,6,1,0,1,0,0,0,1,1,4
4892,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001680169?gameHash=0c4de41bf32f811d,-5093.0,1,0,6,1,0,0,1,0,0,1,1,4
4893,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001680177?gameHash=d8299cefce875fd9,455.0,0,1,4,5,1,0,0,1,0,2,1,2
4894,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001680177?gameHash=d8299cefce875fd9,455.0,0,1,4,5,0,1,0,1,0,2,1,2
4895,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001670205?gameHash=c72c701d7ebdda2f,3458.0,0,1,1,3,1,0,0,1,1,1,2,1
4896,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001790226?gameHash=103edbec1f105423,-3314.0,1,0,5,1,0,0,1,1,0,1,1,1
4897,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001790226?gameHash=103edbec1f105423,-3314.0,1,0,5,1,1,0,0,1,0,1,1,1
4898,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001790226?gameHash=103edbec1f105423,-3314.0,1,0,5,1,0,1,0,1,0,1,1,1
4899,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001790257?gameHash=9fc98a1d5102dca8,-4169.0,1,0,5,2,0,0,1,3,0,2,1,2
4900,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001790257?gameHash=9fc98a1d5102dca8,-4169.0,1,0,5,2,1,0,0,3,0,2,1,2
4901,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001790257?gameHash=9fc98a1d5102dca8,-4169.0,1,0,5,2,1,0,0,3,0,2,1,2
